Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch
Navdeep Saini,1645,bowler,0.18017012423060805,2024-12-23,80
DT Christian,1644,all-rounder,0.14780120339868624,2024-08-03,222
J Fraser-McGurk,1644,batsman,0.306734649122807,2025-03-04,9
KK Nair,1644,batsman,0.1307822094177812,2024-09-21,173
EJG Morgan,1643,batsman,0.12269956831025393,2024-08-05,220
Mohsin Khan,1643,bowler,0.232420488046575,2025-03-06,7
KK Ahmed,1643,bowler,0.24577688335398398,2025-03-04,9
JP Behrendorff,1641,bowler,0.22489725463734747,2024-12-30,73
S Badrinath,1641,batsman,0.13444539068918196,2023-04-15,698
M Pathirana,1641,bowler,0.36296542980564106,2025-02-15,26
RP Singh,1641,bowler,0.25878752464654825,2023-09-21,539
T Natarajan,1640,bowler,0.23319042132092171,2025-03-12,1
S Nadeem,1640,bowler,0.18347380443253317,2024-06-12,274
N Pooran,1639,batsman,0.2258506718578914,2025-03-06,7
YS Chahal,1637,bowler,0.2669106193062125,2025-03-11,2
AN Ahmed,1637,bowler,0.18389353946706885,2023-07-01,621
M Theekshana,1637,bowler,0.19245623615068058,2025-03-07,6
RK Singh,1637,batsman,0.16162754691823483,2025-03-09,4
SR Watson,1636,all-rounder,0.19794685623192795,2024-05-25,292
DP Nannes,1636,bowler,0.29172269933964085,2023-03-07,737
Ravi Bishnoi,1636,bowler,0.22939090340908158,2025-03-06,7
OC McCoy,1635,bowler,0.2557015615962985,2024-12-09,94
Azhar Mahmood,1635,all-rounder,0.21877656034145937,2023-08-06,585
E Lewis,1634,batsman,0.17137936047421887,2024-10-16,148
AC Gilchrist,1634,batsman,0.18969101205255084,2023-04-08,705
RA Tripathi,1633,batsman,0.16729457600605357,2025-03-12,1
J Yadav,1633,bowler,0.1520161329898172,2024-11-17,116
Mustafizur Rahman,1633,bowler,0.24462844557156502,2025-02-18,23
T Stubbs,1633,batsman,0.24373583546083544,2025-03-04,9
SV Samson,1631,batsman,0.19737311922839704,2025-03-11,2
SN Thakur,1631,bowler,0.21625276944984514,2025-03-07,6
PA Patel,1628,batsman,0.1303249140808539,2024-04-01,346
Akash Madhwal,1628,bowler,0.2763644970414201,2025-02-02,39
WG Jacks,1628,batsman,0.23526102430555554,2025-03-03,10
M Morkel,1627,bowler,0.2570833462719787,2023-10-09,521
RN ten Doeschate,1627,batsman,0.09941514285714288,2023-07-22,600
CH Gayle,1626,batsman,0.24582669415753758,2024-07-26,230
S Kaul,1625,bowler,0.22101569493724274,2024-10-11,153
YBK Jaiswal,1625,batsman,0.22468699114428256,2025-03-11,2
DA Miller,1625,batsman,0.18571134769327424,2025-02-28,13
K Kartikeya,1624,bowler,0.16611243386243388,2024-12-30,73
AG Murtaza,1624,bowler,0.25232777777777776,2023-04-09,704
A Manohar,1623,batsman,0.11088070651458073,2025-02-01,40
MM Patel,1623,bowler,0.2713145798718371,2023-12-02,467
AR Patel,1622,bowler,0.22529098592329275,2025-03-04,9
R Sai Kishore,1621,bowler,0.26666666666666666,2025-02-14,27
M Kaif,1621,batsman,0.06151656378600823,2022-12-05,829
GJ Maxwell,1621,all-rounder,0.14466953132650884,2025-03-10,3
Nithish Kumar Reddy,1618,all-rounder,0.12507492770387507,2025-03-12,1
SD Hope,1618,batsman,0.15781306513409962,2025-03-04,9
YK Pathan,1618,all-rounder,0.12966006649701262,2024-04-01,346
P Amarnath,1618,bowler,0.2,2022-04-14,1064
SE Rutherford,1618,all-rounder,0.08972161172161174,2024-08-18,207
CH Morris,1617,bowler,0.27971133655559416,2024-07-30,226
A Chandila,1617,bowler,0.24165740740740743,2023-03-25,719
BA Stokes,1617,all-rounder,0.16384805365859514,2024-10-24,140
UT Yadav,1617,bowler,0.22369490475113468,2025-02-28,13
AT Rayudu,1616,batsman,0.15163755106444898,2024-12-31,72
KL Rahul,1616,batsman,0.2634599961294793,2025-03-06,7
B Kumar,1616,bowler,0.23745218918475194,2025-03-12,1
V Sehwag,1615,batsman,0.19041496785380657,2023-07-19,603
BCJ Cutting,1615,all-rounder,0.130673211708926,2024-03-14,364
JD Unadkat,1615,bowler,0.2030558128429101,2025-03-12,1
Yash Thakur,1615,bowler,0.2372986311933681,2025-02-26,15
J Little,1614,bowler,0.23235867446393763,2025-02-21,20
JEC Franklin,1614,all-rounder,0.1218051214232354,2023-01-27,776
HH Pandya,1613,all-rounder,0.15250111710305458,2025-03-06,7
JL Pattinson,1613,bowler,0.21706736842105265,2024-06-02,284
B Lee,1612,bowler,0.20017597973062373,2023-03-13,731
V Shankar,1612,batsman,0.09972792411317863,2025-02-21,20
PBB Rajapaksa,1611,batsman,0.1609040566255334,2024-12-10,93
PP Shaw,1610,batsman,0.16455197289612045,2025-02-16,25
M Muralitharan,1609,bowler,0.24830233391527257,2023-06-03,649
M Kartik,1609,bowler,0.18762915505547084,2023-05-14,669
Avesh Khan,1609,bowler,0.24467123324157722,2025-03-11,2
B Stanlake,1609,bowler,0.2299903846153846,2023-12-29,440
B Sai Sudharsan,1608,batsman,0.282603862188375,2025-02-28,13
A Kumble,1608,bowler,0.26100250886679455,2022-09-03,922
CA Lynn,1608,batsman,0.23189531581098757,2024-06-07,279
DW Steyn,1608,bowler,0.2646686261212481,2024-05-20,297
A Symonds,1608,all-rounder,0.20404886521142268,2022-11-01,863
RV Uthappa,1608,batsman,0.17778187358482295,2024-10-03,161
R Ashwin,1607,bowler,0.22807291406742125,2025-03-11,2
P Kumar,1607,bowler,0.19612860440230895,2023-12-02,467
S Dube,1607,batsman,0.169496619226619,2025-03-07,6
MS Gony,1607,bowler,0.1840379116497537,2023-10-14,516
KR Mayers,1607,batsman,0.2204468871966879,2024-12-29,74
TL Suman,1606,batsman,0.08728947230510264,2023-03-15,729
BA Bhatt,1605,bowler,0.17850161943319837,2023-04-01,712
JP Faulkner,1605,bowler,0.24974730359519068,2023-12-02,467
NT Ellis,1604,bowler,0.2120028011204482,2025-03-05,8
GC Smith,1602,batsman,0.1421525541807626,2022-10-17,878
KA Pollard,1602,all-rounder,0.14718047751865013,2024-09-30,164
Suyash Sharma,1602,bowler,0.15982905982905984,2025-02-05,36
JDS Neesham,1602,bowler,0.12253446115288219,2024-10-07,157
TG Southee,1601,bowler,0.21794765710969413,2024-10-27,137
KA Jamieson,1601,bowler,0.18910793835793835,2024-07-27,229
MJ Santner,1601,bowler,0.22749167791273053,2025-03-07,6
Yuvraj Singh,1600,batsman,0.13652061909067775,2024-02-22,385
A Zampa,1599,bowler,0.26472266899131885,2024-12-23,80
PK Garg,1599,batsman,0.06728865578865578,2024-12-01,102
CK Langeveldt,1599,bowler,0.3583015873015873,2022-11-05,859
Noor Ahmad,1599,bowler,0.22468766595723114,2025-02-28,13
R Dravid,1598,batsman,0.14083302500418374,2023-04-14,699
MJ Henry,1598,bowler,0.08796296296296297,2025-03-06,7
DL Vettori,1597,bowler,0.24406706384712099,2022-12-29,805
RD Chahar,1597,bowler,0.2172163264960161,2025-03-08,5
S Lamichhane,1597,bowler,0.27818518518518515,2024-03-24,354
BB Samantray,1596,batsman,0.10665017361111111,2023-04-13,700
Rasikh Salam,1596,bowler,0.15254028379028378,2025-03-04,9
A Raghuvanshi,1595,batsman,0.1829591836734694,2025-02-23,18
AK Markram,1595,batsman,0.15529027710669208,2025-03-12,1
R Powell,1595,batsman,0.1135384269204758,2025-03-11,2
Z Khan,1595,bowler,0.2539644951451171,2023-12-05,464
R Parag,1594,batsman,0.1285747748872338,2025-03-11,2
Sikandar Raza,1594,all-rounder,0.12364327485380118,2025-01-23,49
Ishan Kishan,1594,batsman,0.19777608204079336,2025-03-06,7
MF Maharoof,1594,bowler,0.33325092653993516,2022-08-19,937
MJ Lumb,1593,batsman,0.19145918155918157,2022-11-01,863
Dhruv Jurel,1593,batsman,0.13451822991822993,2025-03-11,2
CA Ingram,1593,batsman,0.06612290389527459,2024-03-31,347
SK Warne,1593,bowler,0.24678666522915327,2022-11-08,856
DJ Bravo,1593,bowler,0.2782351634185459,2024-10-03,161
DJ Hooda,1593,batsman,0.10095639634748527,2025-03-06,7
KW Richardson,1593,bowler,0.2694840605787974,2024-06-22,264
VRV Singh,1592,bowler,0.18576068376068375,2022-08-29,927
A Singh,1592,bowler,0.2578850931677018,2022-12-28,806
M Markande,1592,bowler,0.19458768768768764,2025-02-10,31
SW Billings,1592,batsman,0.1162062800282535,2024-10-10,154
AM Rahane,1592,batsman,0.17046206546601372,2025-03-07,6
A Mithun,1591,bowler,0.1210933908045977,2023-03-30,714
B Akhil,1591,bowler,0.1530592509050404,2022-10-09,886
PWH de Silva,1590,bowler,0.25818498168498166,2024-12-11,92
HR Shokeen,1590,bowler,0.11525584968338003,2024-12-29,74
JPR Scantlebury-Searles,1590,bowler,0.128375,2024-02-05,402
LA Pomersbach,1589,batsman,0.09555195955805713,2023-04-01,712
S Randiv,1589,bowler,0.22229716117216117,2022-10-21,874
AP Tare,1588,batsman,0.05094268157045934,2023-12-23,446
Kamran Akmal,1588,batsman,0.16974801587301588,2022-05-10,1038
