Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch
FY Fazal,1526,batsman,0.08953138815207781,2022-11-03,861
Umar Gul,1526,bowler,0.40513461538461537,2022-05-05,1043
RT Ponting,1526,batsman,0.022222222222222227,2023-02-20,752
G Coetzee,1526,bowler,0.21096282051282056,2025-02-20,21
Ankit Soni,1525,bowler,0.16783552631578946,2023-12-02,467
DJ Muthuswami,1525,bowler,0.15833333333333333,2023-07-10,612
Subhransu Senapati,1525,unknown,0.10000000000000002,2024-12-28,75
MD Shanaka,1524,batsman,0.0551904761904762,2024-12-28,75
Sumit Kumar,1524,all-rounder,0.044250000000000005,2025-02-12,29
BE Hendricks,1524,bowler,0.28760971874129765,2023-08-05,586
KS Sharma,1524,batsman,0.0,2024-12-25,78
LRPL Taylor,1524,batsman,0.10947004956055217,2023-05-26,657
RG Sharma,1523,batsman,0.1838980942660165,2025-03-06,7
AJ Turner,1523,batsman,0.001214285714285714,2025-02-23,18
D du Preez,1523,bowler,0.33866666666666667,2022-06-10,1007
AJ Hosein,1523,all-rounder,0.15981818181818183,2024-11-27,106
NLTC Perera,1523,all-rounder,0.16348863821158835,2023-10-04,526
Sonu Yadav,1522,unknown,0.10000000000000002,2024-11-30,103
P Negi,1522,bowler,0.1899781953789554,2024-06-02,284
JW Hastings,1522,bowler,0.24551282051282047,2023-08-17,574
AA Kazi,1521,bowler,0.15,2022-10-28,867
LI Meriwala,1521,bowler,0.15,2024-06-17,269
Anuj Rawat,1521,batsman,0.11704494880945776,2025-01-30,42
TH David,1521,batsman,0.1820415711452102,2025-03-01,12
Azmatullah Omarzai,1521,bowler,0.1095488721804511,2025-02-14,27
O Thomas,1520,bowler,0.23985714285714285,2024-03-31,347
B Laughlin,1520,bowler,0.18750205761316868,2024-02-05,402
PD Collingwood,1520,all-rounder,0.19513204842740964,2022-08-30,926
SS Sarkar,1520,bowler,0.14166666666666666,2022-06-30,987
KH Devdhar,1520,unknown,0.10000000000000002,2022-11-09,855
Sachin Baby,1520,batsman,0.0716341565244791,2024-07-06,250
SS Shaikh,1519,batsman,0.10000000000000002,2022-06-30,987
GS Sandhu,1519,bowler,0.075,2023-08-01,590
Monu Kumar,1519,bowler,0.04999999999999999,2024-05-30,287
DJ Hussey,1519,batsman,0.14536977031941412,2023-06-13,639
D Wiese,1518,bowler,0.19173650568729517,2024-11-26,107
SJ Srivastava,1518,bowler,0.1992858345358345,2022-11-05,859
AS Rajpoot,1518,bowler,0.15980697056522827,2024-05-27,290
CJ Ferguson,1518,batsman,0.03190833333333333,2023-01-23,780
DM Bravo,1517,batsman,0.0408,2023-11-09,490
Arshad Khan,1516,all-rounder,0.12979178338001868,2025-03-06,7
D Ferreira,1516,batsman,0.037500000000000006,2025-03-10,3
GR Napier,1516,all-rounder,0.13,2022-05-31,1017
KP Appanna,1516,bowler,0.1697526315789474,2023-01-24,779
Tanush Kotian,1516,batsman,0.05000000000000001,2025-01-27,45
SD Lad,1516,batsman,0.0,2024-03-02,376
SS Prabhudessai,1516,batsman,0.08449382716049383,2025-02-05,36
C Madan,1515,batsman,0.0,2022-08-22,934
RW Price,1515,bowler,0.0,2022-11-12,852
BR Dunk,1515,batsman,0.05000000000000001,2023-06-12,640
MG Neser,1515,bowler,0.0,2023-04-06,707
MD Mishra,1514,batsman,0.04274660401795125,2023-01-10,793
C Ganapathy,1514,bowler,0.0,2022-08-03,953
NA Saini,1514,bowler,0.0,2024-10-22,142
Kartik Tyagi,1514,bowler,0.14309241084585914,2025-02-28,13
NK Patel,1513,batsman,0.15826150793650792,2022-06-30,987
MB Parmar,1513,bowler,0.0,2022-08-05,951
C Sakariya,1513,bowler,0.22056109665480186,2024-12-24,79
P Dogra,1513,batsman,0.04483730158730159,2023-04-11,702
KM Asif,1513,bowler,0.18582169709989257,2024-12-17,86
CK Kapugedera,1513,all-rounder,0.055000000000000014,2022-05-10,1038
P Prasanth,1513,bowler,0.0,2022-11-03,861
CJ Green,1512,bowler,0.03382352941176472,2024-05-12,305
Y Nagar,1512,batsman,0.05133182312086104,2023-01-12,791
CJ McKay,1512,bowler,0.09166666666666667,2022-12-19,815
JE Root,1512,all-rounder,0.065,2024-12-17,86
HM Amla,1512,batsman,0.21737601746784632,2023-11-26,473
Arjun Tendulkar,1512,bowler,0.17594871794871794,2025-03-06,7
RR Bose,1511,bowler,0.0,2022-05-20,1028
CL White,1511,batsman,0.1684778711280083,2023-04-13,700
SP Jackson,1511,batsman,0.07125000000000001,2024-09-30,164
D Salunkhe,1511,all-rounder,0.06361333333333334,2022-05-03,1045
S Sandeep Warrier,1511,bowler,0.16337719298245615,2025-02-28,13
AL Menaria,1511,batsman,0.058210218083543146,2023-02-02,770
A Chopra,1510,batsman,0.021428571428571432,2022-05-16,1032
R Shepherd,1510,all-rounder,0.10628,2025-03-06,7
Mukesh Choudhary,1509,bowler,0.21597410192147032,2025-01-18,54
Sanvir Singh,1509,batsman,0.046092592592592595,2025-03-09,4
SH Johnson,1509,bowler,0.13526666666666667,2025-02-01,40
Sunny Singh,1509,batsman,0.013055555555555556,2022-10-20,875
SSB Magala,1509,bowler,0.14230769230769233,2024-11-04,129
K Yadav,1509,bowler,0.1388888888888889,2024-12-09,94
VY Mahesh,1508,bowler,0.2451972843118354,2023-01-19,784
SP Goswami,1508,batsman,0.07763938721949376,2024-06-05,281
P Chopra,1508,batsman,0.025000000000000005,2024-02-15,392
AD Nath,1508,batsman,0.010000000000000002,2024-03-20,358
HC Brook,1508,batsman,0.09813390058217644,2024-12-26,77
KC Cariappa,1508,bowler,0.16033639021796917,2024-03-16,362
AUK Pathan,1508,all-rounder,0.02995918367346939,2023-01-04,799
RR Rossouw,1508,batsman,0.1658511193598718,2025-03-08,5
Y Gnaneswara Rao,1508,batsman,0.052222222222222225,2022-11-06,858
M Ashwin,1507,bowler,0.1748431838629207,2024-12-09,94
RA Bawa,1507,batsman,0.0,2024-08-13,212
S Ladda,1507,bowler,0.10888888888888888,2023-08-15,576
Shoaib Malik,1507,all-rounder,0.08042857142857143,2022-04-23,1055
SD Chitnis,1507,batsman,0.040875959595959604,2023-01-22,781
A Mukund,1507,batsman,0.05000000000000001,2023-03-09,735
GD Phillips,1506,all-rounder,0.06705555555555556,2024-12-26,77
M Klinger,1506,batsman,0.0,2022-10-23,872
Tanay Thyagarajan,1506,unknown,0.10000000000000002,2025-01-11,61
AA Kulkarni,1506,batsman,0.0,2025-02-23,18
K Goel,1505,batsman,0.05400195545195544,2022-08-29,927
OA Shah,1505,batsman,0.16293881294552814,2023-03-16,728
YV Dhull,1505,batsman,0.030000000000000006,2024-12-24,79
LB Williams,1505,bowler,0.10025,2025-02-16,25
U Kaul,1504,batsman,0.05000000000000001,2022-04-14,1064
IS Sodhi,1504,bowler,0.24565058479532162,2024-03-31,347
RS Gavaskar,1504,all-rounder,0.010000000000000005,2022-07-14,973
TM Srivastava,1503,batsman,0.038916666666666676,2022-06-01,1016
SM Katich,1502,batsman,0.15628156169848959,2022-07-01,986
ER Dwivedi,1502,batsman,0.03333333333333334,2023-10-10,520
A Kamboj,1502,bowler,0.1664561403508772,2025-03-06,7
Pankaj Singh,1502,bowler,0.13642072829131652,2023-01-09,794
MDKJ Perera,1501,batsman,0.0,2023-02-10,762
S Sriram,1501,all-rounder,0.0,2022-11-02,862
Virat Singh,1500,batsman,0.05000000000000001,2024-06-26,260
DS Lehmann,1500,batsman,0.0,2022-03-19,1090
TL Seifert,1500,batsman,0.01666666666666667,2024-08-15,210
Harpreet Singh,1500,batsman,0.06198363095238096,2025-02-06,35
Vivrant Sharma,1499,all-rounder,0.1526679748822606,2024-12-26,77
B Indrajith,1499,batsman,0.03333333333333334,2024-09-27,167
LE Plunkett,1499,bowler,0.15178571428571427,2024-02-02,405
A Flintoff,1499,all-rounder,0.18012698412698414,2022-05-18,1030
NB Singh,1499,bowler,0.2314102564102564,2023-11-10,489
SB Dubey,1499,batsman,0.020148148148148144,2025-03-02,11
Anmolpreet Singh,1499,batsman,0.08205313580246913,2025-02-19,22
SS Cottrell,1499,bowler,0.21299999999999997,2024-05-28,289
RJ Gleeson,1498,bowler,0.102,2025-02-22,19
T Kohler-Cadmore,1498,batsman,0.01666666666666667,2025-03-11,2
RJ Quiney,1498,batsman,0.06692499999999998,2022-06-30,987
Karanveer Singh,1497,bowler,0.28693148148148145,2023-07-24,598
RS Hangargekar,1497,bowler,0.24642857142857144,2024-10-24,140
DPMD Jayawardene,1497,batsman,0.142840675460205,2023-04-09,704
AA Bilakhia,1497,batsman,0.04137414965986394,2022-08-11,945
Yudhvir Singh,1496,bowler,0.1408187134502924,2025-03-04,9
P Dubey,1496,all-rounder,0.06282692307692309,2024-12-16,87
HE van der Dussen,1495,batsman,0.04386666666666667,2024-10-02,162
X Thalaivan Sargunam,1494,batsman,0.0,2023-03-03,741
Sunny Gupta,1494,bowler,0.0,2023-01-28,775
GC Viljoen,1494,bowler,0.21266286799620132,2024-03-20,358
Tejas Baroka,1494,bowler,0.0,2023-10-17,513
J Theron,1494,bowler,0.24523888888888887,2023-07-16,606
AD Mathews,1494,all-rounder,0.14244034511061626,2023-11-01,498
M Shahrukh Khan,1493,batsman,0.10514249456269832,2025-02-28,13
A Tomar,1493,batsman,0.0,2024-10-10,154
S Vidyut,1493,batsman,0.10718859649122808,2022-05-10,1038
Basil Thampi,1493,bowler,0.20009759163059163,2024-08-28,197
S Rana,1493,batsman,0.06327821869488537,2023-06-07,645
TR Birt,1493,batsman,0.0,2022-11-02,862
PSP Handscomb,1493,batsman,0.0,2023-09-10,550
ND Doshi,1493,bowler,0.11599999999999999,2022-11-03,861
AG Paunikar,1493,batsman,0.020000000000000004,2022-09-21,904
P Ray Barman,1493,all-rounder,0.0,2024-02-18,389
Arshad Khan (2),1492,bowler,0.0,2025-01-28,44
AR Bawne,1492,batsman,0.06799999999999999,2023-11-11,488
LJ Wright,1492,all-rounder,0.12955494505494503,2023-04-09,704
FA Allen,1492,bowler,0.1048,2024-08-31,194
S Joseph,1492,bowler,0.0,2025-01-28,44
DJ Malan,1492,batsman,0.05000000000000001,2024-07-05,251
BR Sharath,1492,batsman,0.05000000000000001,2025-01-21,51
Abdul Basith,1492,batsman,0.005666666666666666,2024-11-19,114
Gurnoor Brar,1492,bowler,0.0,2024-11-25,108
S Midhun,1492,bowler,0.05000000000000001,2024-02-28,379
D Pretorius,1492,bowler,0.20743688586545728,2024-10-30,134
RR Bhatkal,1492,bowler,0.05000000000000001,2022-11-29,835
Jalaj S Saxena,1491,bowler,0.0,2024-06-17,269
RA Shaikh,1491,bowler,0.0,2022-07-02,985
MJ Suthar,1491,bowler,0.0,2025-02-21,20
R Sanjay Yadav,1491,bowler,0.0,2024-10-09,155
Abdur Razzak,1491,bowler,0.0,2022-04-24,1054
SA Abbott,1491,bowler,0.049999999999999996,2024-09-24,170
Mohammad Hafeez,1490,all-rounder,0.05806346153846154,2022-04-28,1050
A Dananjaya,1490,bowler,0.0031999999999999997,2023-12-18,451
DR Martyn,1490,batsman,0.0,2022-07-16,971
Mohit Rathee,1490,bowler,0.0004999999999999999,2024-11-01,132
SB Styris,1490,all-rounder,0.11942875377546429,2022-09-13,912
H Das,1490,batsman,0.0,2022-04-25,1053
JL Denly,1490,batsman,0.0,2024-03-04,374
Milind Kumar,1490,unknown,0.10000000000000002,2024-03-09,369
CJ Dala,1490,bowler,0.0,2024-01-23,415
R Goyal,1489,bowler,0.06666666666666668,2024-12-06,97
Liton Das,1489,batsman,0.0,2024-11-15,118
Shivam Singh,1489,batsman,0.10755555555555556,2025-03-08,5
Mohammad Asif,1489,bowler,0.194125,2022-05-08,1040
SK Rasheed,1488,unknown,0.10000000000000002,2024-11-28,105
R Bishnoi,1488,batsman,0.01666666666666667,2022-06-01,1016
MN Samuels,1488,all-rounder,0.1132597668997669,2023-12-05,464
DG Nalkande,1488,bowler,0.1816239316239316,2025-01-21,51
DNT Zoysa,1488,bowler,0.13617216117216113,2022-04-25,1053
Mohammad Ashraful,1488,batsman,0.10000000000000002,2022-07-02,985
H Sharma,1488,bowler,0.0,2025-01-19,53
AD Mascarenhas,1488,bowler,0.2865480769230769,2023-02-22,750
Younis Khan,1488,batsman,0.05000000000000001,2022-04-20,1058
BJ Haddin,1488,batsman,0.0,2022-09-28,897
W Jaffer,1487,batsman,0.11750287787787787,2022-06-10,1007
S Chanderpaul,1487,batsman,0.0,2022-04-11,1067
B Aparajith,1487,unknown,0.10000000000000002,2023-07-18,604
T Mishra,1487,unknown,0.10000000000000002,2022-12-07,827
JM Sharma,1486,batsman,0.1142938538056979,2025-03-08,5
I Malhotra,1486,all-rounder,0.036750000000000005,2022-10-19,876
NJ Rimmington,1486,bowler,0.07877777777777777,2022-09-09,916
AV Wankhade,1486,unknown,0.10000000000000002,2023-05-01,682
Yashpal Singh,1486,batsman,0.030000000000000006,2022-06-30,987
Joginder Sharma,1486,bowler,0.1646700171205606,2022-09-27,898
S Narwal,1485,bowler,0.15978732545649837,2023-03-16,728
DJM Short,1485,batsman,0.11564485788113696,2024-01-25,413
C Nanda,1484,bowler,0.19333333333333333,2022-06-24,993
BAW Mendis,1484,bowler,0.20535977011494252,2023-03-28,716
DB Ravi Teja,1484,batsman,0.08928827898434274,2023-02-14,758
AA Noffke,1484,all-rounder,0.09000000000000001,2022-03-14,1095
Anirudh Singh,1484,batsman,0.07317460317460318,2022-09-03,922
SC Ganguly,1484,batsman,0.14056885139673198,2023-01-23,780
VH Zol,1484,batsman,0.0,2023-06-07,645
T Shamsi,1483,bowler,0.1152,2024-07-16,240
JD Ryder,1483,all-rounder,0.13424382898156392,2023-01-23,780
A Nel,1483,bowler,0.15,2022-05-02,1046
SS Agarwal,1483,bowler,0.15,2023-11-06,493
JA Richardson,1482,bowler,0.12777777777777777,2025-01-20,52
V Kaverappa,1482,bowler,0.3,2025-02-27,14
T Banton,1482,batsman,0.0,2024-05-26,291
KJ Abbott,1482,bowler,0.06722222222222222,2023-10-04,526
IC Porel,1482,bowler,0.15,2024-07-30,226
Tilak Varma,1482,batsman,0.25051866519919913,2025-03-01,12
SZ Mulani,1481,bowler,0.02418421052631578,2025-01-08,64
TD Paine,1481,batsman,0.0,2022-10-08,887
UA Birla,1481,batsman,0.025000000000000005,2023-03-26,718
R Rampaul,1481,bowler,0.297603787640078,2023-06-07,645
VS Yeligati,1479,bowler,0.0,2022-04-29,1049
YV Takawale,1478,batsman,0.11973293821839077,2023-06-07,645
NS Naik,1478,batsman,0.037500000000000006,2024-04-24,323
Mashrafe Mortaza,1478,bowler,0.20200000000000004,2022-06-25,992
KT Maphaka,1478,bowler,0.075,2025-01-14,58
M Rawat,1478,batsman,0.08062344850220789,2023-03-26,718
DT Patil,1477,batsman,0.05000000000000001,2022-04-24,1054
MR Marsh,1477,all-rounder,0.15313307868292594,2025-01-16,56
SB Joshi,1477,bowler,0.07755847953216373,2022-03-30,1079
Y Prithvi Raj,1477,bowler,0.08,2024-03-21,357
L Wood,1477,bowler,0.08512499999999999,2025-02-12,29
LS Livingstone,1477,all-rounder,0.14660358268929408,2025-02-27,14
PH Solanki,1476,bowler,0.225,2024-10-12,152
Saurav Chauhan,1476,batsman,0.0,2025-01-30,42
DJ Harris,1476,batsman,0.12022883597883596,2023-01-07,796
RG More,1476,bowler,0.10516666666666667,2023-07-18,604
NL McCullum,1475,all-rounder,0.09426190476190477,2022-10-11,884
Kumar Kushagra,1474,batsman,0.01666666666666667,2025-03-03,10
D Kalyankrishna,1474,bowler,0.11666666666666667,2022-03-31,1078
Ashutosh Sharma,1474,batsman,0.197949157523511,2025-03-08,5
AN Ghosh,1474,batsman,0.025000000000000005,2022-06-18,999
CM Gautam,1474,batsman,0.08507076732200801,2023-06-16,636
KAJ Roach,1474,bowler,0.05192307692307691,2022-08-05,951
K Upadhyay,1473,bowler,0.03293910256410256,2023-03-26,718
SS Mundhe,1473,bowler,0.2785714285714286,2022-11-10,854
JR Philippe,1472,batsman,0.08715934343434342,2024-05-20,297
TP Sudhindra,1472,bowler,0.049999999999999996,2023-01-14,789
RJW Topley,1470,bowler,0.19043333333333334,2025-01-30,42
AS Raut,1469,batsman,0.06728083735909822,2022-10-28,867
P Sahu,1469,bowler,0.13419999999999999,2023-09-02,558
RK Bhui,1469,batsman,0.0,2025-01-09,63
KM Jadhav,1468,batsman,0.1031625041643168,2024-12-11,92
N Wadhera,1468,batsman,0.1458598943755168,2025-03-06,7
F Behardien,1468,batsman,0.03852380952380953,2023-10-04,526
Misbah-ul-Haq,1468,batsman,0.09808238095238096,2022-05-04,1044
J Arunkumar,1468,batsman,0.0,2022-04-24,1054
PR Shah,1467,batsman,0.05040476190476192,2022-11-08,856
PM Sarvesh Kumar,1467,bowler,0.09893421052631578,2022-05-07,1041
DB Das,1466,batsman,0.06617200920821488,2023-04-03,710
T Henderson,1466,all-rounder,0.09499999999999999,2022-06-30,987
BMAJ Mendis,1465,all-rounder,0.10444444444444445,2023-03-17,727
DAJ Bracewell,1464,bowler,0.61,2022-11-21,843
IR Jaggi,1463,batsman,0.02693452380952381,2023-12-08,461
AU Rashid,1461,bowler,0.12314814814814813,2024-10-28,136
R Ninan,1461,bowler,0.24999999999999997,2022-09-18,907
MA Agarwal,1461,batsman,0.1326358675391244,2025-02-24,17
AA Jhunjhunwala,1460,batsman,0.06097061049144384,2023-01-14,789
N Jagadeesan,1459,batsman,0.08448309523809523,2024-11-26,107
MA Khote,1456,all-rounder,0.06490000000000001,2022-03-26,1083
M Manhas,1456,batsman,0.08320514087468463,2023-05-18,665
JR Hopes,1456,all-rounder,0.15909987987502697,2022-11-02,862
Y Venugopal Rao,1456,batsman,0.09430929704885128,2023-06-08,644
M Ntini,1455,bowler,0.2194074074074074,2022-05-10,1038
A Uniyal,1455,bowler,0.2263333333333333,2022-07-12,975
B Chipli,1454,batsman,0.0754351432442896,2023-04-09,704
SP Fleming,1453,batsman,0.10288813492063492,2022-05-07,1041
AF Milne,1453,bowler,0.19284358974358973,2024-08-06,219
LPC Silva,1452,batsman,0.16441666666666666,2022-05-01,1047
AP Majumdar,1451,batsman,0.11417283950617285,2023-01-23,780
JJ van der Wath,1450,bowler,0.18186531986531984,2022-11-05,859
AB Dinda,1450,bowler,0.2248095915677633,2023-10-20,510
Mayank Dagar,1447,bowler,0.09552696078431373,2025-01-19,53
Jaskaran Singh,1444,bowler,0.14798688750862665,2022-08-08,948
MC Juneja,1444,batsman,0.04627777777777778,2023-04-01,712
BJ Rohrer,1442,batsman,0.20160833683767873,2023-04-09,704
Atharva Taide,1439,batsman,0.1899824640316458,2025-03-08,5
M Vijay,1439,batsman,0.14812204440793142,2024-05-25,292
Shoaib Ahmed,1438,bowler,0.1651507936507936,2022-06-20,997
L Ronchi,1438,batsman,0.04000000000000001,2022-06-12,1005
Fazalhaq Farooqi,1436,bowler,0.1787193260930103,2024-12-19,84
A Choudhary,1434,bowler,0.21221078431372548,2023-11-25,474
N Thushara,1431,bowler,0.2076923076923077,2025-03-06,7
S Badree,1431,bowler,0.20161598440545808,2023-11-25,474
VVS Laxman,1431,batsman,0.07559166813178307,2022-10-01,894
AS Yadav,1428,batsman,0.01879166666666667,2022-05-07,1041
SB Bangar,1427,bowler,0.12559848484848485,2022-05-19,1029
MJ Clarke,1426,all-rounder,0.1279462365591398,2023-01-23,780
AC Thomas,1423,bowler,0.23389863743342007,2023-01-10,793
JE Taylor,1423,bowler,0.22134542124542123,2022-10-17,878
D Brevis,1423,batsman,0.1509983306751728,2025-03-06,7
Ankit Sharma,1423,bowler,0.1564789715436332,2024-01-21,417
S Kaushik,1422,bowler,0.1359,2023-10-31,499
Naman Dhir,1421,batsman,0.15856812865497075,2025-03-06,7
Anureet Singh,1421,bowler,0.18480823343323347,2024-01-27,411
TS Mills,1413,bowler,0.18942564102564102,2024-08-31,194
Shahid Afridi,1407,bowler,0.21725833333333336,2022-05-07,1041
DP Vijaykumar,1407,bowler,0.11227810266406756,2022-05-07,1041
AM Nayar,1405,batsman,0.07783109624866591,2023-04-29,684
R Sharma,1396,bowler,0.228994375573921,2023-05-08,675
MN van Wyk,1388,batsman,0.0011325911625911,2022-06-16,1001
Kamran Khan,1388,bowler,0.09887125220458555,2022-10-08,887
