team1,team2,venue,team1_avg_elo,team2_avg_elo,team1_avg_form,team2_avg_form,team2_batsmen_avg_elo,team2_batsmen_avg_form,team1_last_5_wins,team2_last_5_wins,team1_vs_team2_matches,team1_vs_team2_wins,team2_vs_team1_wins,head_to_head_wins,head_to_head_losses,team1_won
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,1517.8181818181818,1638.375,0.1606372692259473,0.2099689466036646,1611.5,0.1018345589833854,4.0,2.0,9,7,2,16,13,1
Chennai Super Kings,Kings XI Punjab,MA Chidambaram Stadium,1590.7272727272727,1533.5454545454545,0.170732219890422,0.1482566754386258,1529.5,0.1145244525161602,2.0,5.0,23,14,9,16,14,1
Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,1547.2,1532.2727272727273,0.1547607919676169,0.170617117301848,1529.8,0.1403802505058287,2.0,1.0,9,2,7,11,26,0
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,1600.090909090909,1590.1818181818182,0.2155391432151017,0.1763654626238728,1553.5,0.1106385186013716,4.0,2.0,18,11,7,15,14,1
Kings XI Punjab,Royal Challengers Bangalore,Punjab Cricket Association Stadium,1582.4545454545455,1552.875,0.1793334584543452,0.1780610609546809,1577.0,0.1602705909698417,4.0,1.0,26,14,12,17,16,1
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,1567.0,1600.6363636363635,0.1487424807583436,0.2122872772065964,1618.0,0.1781811170517951,2.0,2.0,21,13,8,18,15,1
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1578.7272727272727,1603.3333333333333,0.1675204032650184,0.2037644346822038,1664.0,0.1783881891798747,3.0,2.0,37,20,17,20,17,1
Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,1590.5,1521.4545454545455,0.203479412653024,0.1582132442875683,1529.8,0.1403802505058287,1.0,1.0,11,7,4,18,17,1
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,1554.6363636363635,1610.5,0.1480993770277043,0.2029689955790256,1664.0,0.1783881891798747,4.0,3.0,34,23,11,23,11,1
Delhi Capitals,Kings XI Punjab,Arun Jaitley Stadium,1588.1,1549.5,0.2004276395992625,0.1721814739891806,1557.0,0.1559131120924325,1.0,4.0,22,9,13,16,17,0
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,1629.111111111111,1560.2727272727273,0.2123592676805064,0.1430046045643435,1534.0,0.1140106939031659,4.0,1.0,29,12,15,14,15,1
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,1567.6363636363635,1514.2727272727273,0.1772598028689765,0.1525324527748106,1506.5,0.1202672248364046,1.0,5.0,10,4,6,14,19,0
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,1550.6363636363635,1577.0,0.1521669622803991,0.1937257526291522,1540.5,0.1166065245007444,3.0,2.0,29,10,19,10,19,0
Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,1564.1818181818182,1588.1818181818182,0.1697438337603116,0.2115408512147141,1617.0,0.1841428714007215,1.0,1.0,21,14,6,19,11,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,1547.909090909091,1626.4444444444443,0.1586943515577884,0.2020912534123425,1584.6666666666667,0.1142462752828454,3.0,4.0,28,14,14,14,14,0
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,1546.6666666666667,1560.909090909091,0.174147684788628,0.1600417070333533,1547.0,0.1214198944788227,5.0,4.0,26,14,12,17,15,0
Chennai Super Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,1599.090909090909,1586.3636363636365,0.178074108474888,0.1793442491166276,1582.0,0.1416532534800544,3.0,0.0,30,20,10,21,11,0
Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Association Stadium,1536.6666666666667,1558.9,0.166586836776214,0.1669318739153597,1551.4,0.1577716661568784,4.0,1.0,10,7,3,14,19,1
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,1558.4545454545455,1588.5454545454545,0.1622246154962328,0.2059253575138861,1593.8333333333333,0.1629785379921053,2.0,4.0,22,11,11,16,19,1
Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,1590.4545454545455,1587.6363636363635,0.1650081554714984,0.1741452857992432,1584.3333333333333,0.1321218207315165,3.0,4.0,29,16,13,16,13,0
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,1539.8181818181818,1541.1818181818182,0.1663986663104616,0.1585156903774363,1535.0,0.1055620646727237,2.0,4.0,27,18,9,21,12,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,1506.3636363636365,1593.7,0.1553463963808925,0.1849431904046841,1549.2,0.1503134082593746,0.0,1.0,11,6,5,19,16,0
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,1573.6363636363635,1605.5454545454545,0.1913354035178142,0.1839739173598915,1563.25,0.1321489488693243,5.0,3.0,29,14,15,14,15,1
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,1512.8181818181818,1590.6666666666667,0.1432035690512638,0.192350305900277,1589.5,0.1520713834249792,0.0,2.0,10,4,6,10,21,0
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,1585.7272727272727,1607.25,0.1772183805433831,0.225184363390641,1634.3333333333333,0.1864691830411831,2.0,2.0,32,14,18,14,19,0
Kings XI Punjab,Rajasthan Royals,Punjab Cricket Association Stadium,1555.3333333333333,1568.4545454545455,0.1754415627146223,0.1391260161661627,1537.6,0.1040299072195479,4.0,5.0,21,9,12,12,16,1
Delhi Capitals,Rajasthan Royals,Wankhede Stadium,1614.6363636363635,1583.3636363636365,0.1866703110375248,0.2031185393320679,1593.8333333333333,0.1629785379921053,3.0,4.0,18,7,11,14,15,0
Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,1542.0,1600.75,0.1705442585969629,0.1946376844611598,1616.0,0.1447447520955673,2.0,4.0,23,14,9,16,14,1
Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,1591.8181818181818,1616.5454545454545,0.1749907823056607,0.1962369947763024,1563.25,0.1321489488693243,3.0,4.0,29,16,13,16,13,0
Chennai Super Kings,Mumbai Indians,Newlands,1604.8181818181818,1586.9,0.1888576776763331,0.1909502652020411,1642.0,0.1792024769925172,2.0,2.0,37,17,20,17,20,0
Royal Challengers Bangalore,Rajasthan Royals,Newlands,1596.6363636363635,1540.4545454545455,0.192262485652779,0.1820196864933083,1531.0,0.1300268046253109,2.0,4.0,29,15,12,15,14,1
Delhi Capitals,Kings XI Punjab,Newlands,1542.3636363636365,1572.2857142857142,0.1477681191266968,0.2228271298193237,1594.5,0.1791413201102076,3.0,3.0,22,9,13,16,17,1
Sunrisers Hyderabad,Kolkata Knight Riders,Newlands,1575.8181818181818,1558.2222222222222,0.1619877517991138,0.1860813624373064,1535.0,0.1484738361569331,0.0,2.0,9,2,7,11,26,1
Royal Challengers Bangalore,Chennai Super Kings,St George's Park,1605.7,1603.1818181818182,0.2009823807516118,0.1838310733941085,1571.3333333333333,0.1468679318479928,3.0,2.0,30,10,20,11,21,0
Kings XI Punjab,Kolkata Knight Riders,Kingsmead,1537.4,1582.888888888889,0.1439688626632981,0.1766385050414171,1561.25,0.183087708734486,2.0,1.0,27,9,18,12,21,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Newlands,1542.1818181818182,1597.909090909091,0.1689390761789956,0.1828171673442033,1580.8,0.1543475083054809,3.0,1.0,11,5,6,16,19,0
Chennai Super Kings,Delhi Capitals,Kingsmead,1613.2727272727273,1608.909090909091,0.2054384893586024,0.1949335634732091,1642.0,0.1792024769925172,3.0,3.0,18,12,6,19,11,0
Kolkata Knight Riders,Rajasthan Royals,Newlands,1546.5,1538.5454545454545,0.1777704633292705,0.1567094277610606,1546.2,0.1524701669875888,2.0,3.0,28,14,14,14,14,0
Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,1593.090909090909,1535.5,0.1828610065291054,0.1456179797854921,1532.75,0.124642283104375,2.0,1.0,26,12,14,16,17,0
Sunrisers Hyderabad,Mumbai Indians,Kingsmead,1549.909090909091,1603.2727272727273,0.1765029322688443,0.1936470559656824,1562.0,0.1351199723712918,2.0,2.0,10,4,6,14,19,1
Royal Challengers Bangalore,Delhi Capitals,St George's Park,1589.0,1616.4545454545455,0.1804248674979182,0.2047011964865348,1600.8333333333333,0.165287372937315,1.0,4.0,21,14,6,19,11,0
Kings XI Punjab,Rajasthan Royals,Newlands,1540.5454545454545,1539.3636363636365,0.1541075960424779,0.1711964437135439,1515.6,0.0992103095847668,2.0,3.0,21,9,12,12,16,1
Chennai Super Kings,Sunrisers Hyderabad,Kingsmead,1612.3636363636365,1542.5454545454545,0.1908632339942589,0.1670281849447624,1524.0,0.1331728517286068,2.0,3.0,10,6,4,21,10,0
Kolkata Knight Riders,Mumbai Indians,St George's Park,1615.3,1542.2,0.1991347173093217,0.1492516425668785,1534.1666666666667,0.131225139156324,2.0,2.0,34,11,23,11,23,0
Delhi Capitals,Rajasthan Royals,SuperSport Park,1616.4545454545455,1552.7,0.2047011964865348,0.1849493503815372,1543.0,0.1155960427225558,4.0,3.0,18,7,11,14,15,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,1577.7,1568.5454545454545,0.1795627680067678,0.182961019250965,1561.2,0.1588050136677699,1.0,2.0,32,14,18,14,20,1
Kings XI Punjab,Mumbai Indians,Kingsmead,1537.1818181818182,1615.3,0.1493616454119118,0.1991347173093217,1574.6,0.1493914733669597,2.0,3.0,26,12,14,15,17,1
Sunrisers Hyderabad,Delhi Capitals,SuperSport Park,1558.4545454545455,1616.4545454545455,0.1680916216877915,0.2047011964865348,1600.8333333333333,0.165287372937315,4.0,3.0,11,4,7,17,18,0
Chennai Super Kings,Rajasthan Royals,SuperSport Park,1622.5,1558.090909090909,0.1885310032866553,0.1842873746358643,1527.25,0.1071926776411839,1.0,3.0,29,16,13,16,13,1
Kolkata Knight Riders,Mumbai Indians,Buffalo Park,1620.5555555555557,1566.090909090909,0.18838596406694,0.1836761156032219,1551.1666666666667,0.1937186904958575,1.0,3.0,34,11,23,11,23,0
Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,1568.2727272727273,1532.5454545454545,0.166974918588948,0.1468085374739486,1522.6666666666667,0.115627893463776,1.0,3.0,26,12,14,16,17,1
Sunrisers Hyderabad,Rajasthan Royals,St George's Park,1558.4545454545455,1590.0,0.1680916216877915,0.1675710189136519,1556.2,0.1149667872543743,4.0,2.0,9,2,7,13,16,0
Chennai Super Kings,Delhi Capitals,New Wanderers Stadium,1619.6363636363635,1605.7272727272727,0.1909450693851133,0.2083484504648153,1586.3333333333333,0.1789776911202248,2.0,4.0,18,12,6,19,11,1
Kings XI Punjab,Kolkata Knight Riders,St George's Park,1555.3,1539.0,0.1891608554760831,0.1635506810860632,1533.6,0.1428760518859707,3.0,1.0,27,9,18,12,21,1
Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,1629.111111111111,1596.75,0.2048565377801118,0.2234459750203991,1547.5,0.1476423757313503,2.0,3.0,32,14,18,14,19,1
Chennai Super Kings,Sunrisers Hyderabad,Buffalo Park,1626.4444444444443,1553.0,0.2033996680765036,0.1735674297487302,1539.571428571429,0.1397321835350694,3.0,3.0,10,6,4,21,10,1
Kings XI Punjab,Rajasthan Royals,Kingsmead,1592.8,1538.1818181818182,0.1690782013464271,0.1604906168619106,1528.8333333333333,0.1280637024803015,4.0,3.0,21,9,12,12,16,0
Delhi Capitals,Kolkata Knight Riders,Kingsmead,1577.888888888889,1615.25,0.1910369813803764,0.2255871749046633,1592.3333333333333,0.1955768636152291,3.0,0.0,21,8,13,15,18,1
Sunrisers Hyderabad,Mumbai Indians,SuperSport Park,1544.8181818181818,1598.2727272727273,0.173876337571948,0.1780929129118322,1557.4,0.1202047994168874,2.0,2.0,10,4,6,14,19,1
Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,1599.090909090909,1594.8,0.206969796187528,0.1752422671627273,1562.5,0.1089410570975265,3.0,3.0,29,15,12,15,14,0
Chennai Super Kings,Kings XI Punjab,SuperSport Park,1644.7,1540.8,0.2000958270619537,0.1631466010032885,1528.8,0.1206352664934294,3.0,3.0,23,14,9,16,14,1
Delhi Capitals,Mumbai Indians,Buffalo Park,1593.4545454545455,1620.7,0.1712986023782593,0.2208627814238283,1612.4,0.1981322011693329,3.0,2.0,22,11,11,16,19,1
Sunrisers Hyderabad,Kings XI Punjab,De Beers Diamond Oval,1568.5,1545.1,0.1835067753551872,0.159789057207087,1533.6,0.1428760518859707,2.0,2.0,10,3,7,19,14,0
Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,1587.1818181818182,1626.6,0.1663501564860033,0.1922044024252439,1617.75,0.1838644440764638,4.0,4.0,29,16,13,16,13,1
Royal Challengers Bangalore,Mumbai Indians,St George's Park,1632.4444444444443,1600.3636363636365,0.2128193921631317,0.1840623346418229,1589.6,0.1552703762089981,3.0,1.0,32,14,18,14,19,0
Delhi Capitals,Kolkata Knight Riders,New Wanderers Stadium,1567.3636363636365,1620.7,0.1642507962653657,0.2208627814238283,1612.4,0.1981322011693329,3.0,0.0,21,8,13,15,18,1
Sunrisers Hyderabad,Rajasthan Royals,De Beers Diamond Oval,1576.8,1596.5454545454545,0.1868737887135255,0.1677171239859963,1556.2,0.1149667872543743,1.0,3.0,9,2,7,13,16,1
Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,1558.2,1584.8,0.1515562721857034,0.16868736918998,1566.5,0.137420248677642,3.0,0.0,32,14,18,14,20,1
Kings XI Punjab,Mumbai Indians,SuperSport Park,1549.8181818181818,1641.2222222222222,0.145873073783698,0.2088317758288488,1659.0,0.1738293125046405,2.0,2.0,26,12,14,15,17,0
Sunrisers Hyderabad,Delhi Capitals,Kingsmead,1620.1818181818182,1564.1818181818182,0.2180947983720081,0.1848989709805498,1546.3333333333333,0.1411845542367772,2.0,4.0,11,4,7,17,18,0
Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,1619.6363636363635,1608.6363636363635,0.1909450693851133,0.189366137634896,1589.6,0.1552703762089981,3.0,5.0,30,10,20,11,21,1
Mumbai Indians,Rajasthan Royals,Kingsmead,1594.6,1597.7272727272727,0.1534428235521913,0.1920853239941129,1572.0,0.1438103943961956,2.0,3.0,29,15,14,15,14,0
Delhi Capitals,Kings XI Punjab,OUTsurance Oval,1600.7272727272727,1556.1818181818182,0.2044781978679921,0.1550079484511705,1552.0,0.1334183087055411,4.0,2.0,22,9,13,16,17,0
Chennai Super Kings,Mumbai Indians,St George's Park,1611.6666666666667,1646.8,0.2025270622500931,0.1947245273050637,1642.0,0.1792024769925172,4.0,2.0,37,17,20,17,20,1
Sunrisers Hyderabad,Kolkata Knight Riders,New Wanderers Stadium,1576.111111111111,1577.9,0.1679298374050821,0.1891375844792294,1554.2,0.1399804891699806,2.0,0.0,9,2,7,11,26,1
Sunrisers Hyderabad,Kings XI Punjab,New Wanderers Stadium,1556.1818181818182,1561.3636363636365,0.1550079484511705,0.1733811023994589,1542.5,0.1315317874723743,3.0,2.0,10,3,7,19,14,0
Delhi Capitals,Rajasthan Royals,OUTsurance Oval,1633.0,1590.909090909091,0.2270680819662915,0.1653380187684321,1555.5,0.0940094764096958,4.0,3.0,18,7,11,14,15,1
