,Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch,FormCategory,Status
134,YBK Jaiswal,1625,batsman,0.2246869911442825,2025-03-11,2,High,Active

135,DA Miller,1625,batsman,0.1857113476932742,2025-02-28,13,Medium,Active

136,K Kartikeya,1624,bowler,0.1661124338624338,2024-12-30,73,Medium,Active

138,A Manohar,1623,batsman,0.1108807065145807,2025-02-01,40,Low,Active

140,AR Patel,1622,bowler,0.2252909859232927,2025-03-04,9,High,Active

141,R Sai Kishore,1621,bowler,0.2666666666666666,2025-02-14,27,High,Active

143,GJ Maxwell,1621,all-rounder,0.1446695313265088,2025-03-10,3,Medium,Active

144,Nithish Kumar Reddy,1618,all-rounder,0.125074927703875,2025-03-12,1,Medium,Active

145,SD Hope,1618,batsman,0.1578130651340996,2025-03-04,9,Medium,Active

152,UT Yadav,1617,bowler,0.2236949047511346,2025-02-28,13,High,Active

153,AT Rayudu,1616,batsman,0.1516375510644489,2024-12-31,72,Medium,Active

154,KL Rahul,1616,batsman,0.2634599961294793,2025-03-06,7,High,Active

155,B Kumar,1616,bowler,0.2374521891847519,2025-03-12,1,High,Active

158,JD Unadkat,1615,bowler,0.2030558128429101,2025-03-12,1,High,Active

159,Yash Thakur,1615,bowler,0.2372986311933681,2025-02-26,15,High,Active

160,J Little,1614,bowler,0.2323586744639376,2025-02-21,20,High,Active

162,HH Pandya,1613,all-rounder,0.1525011171030545,2025-03-06,7,Medium,Active

165,V Shankar,1612,batsman,0.0997279241131786,2025-02-21,20,Low,Active

166,PBB Rajapaksa,1611,batsman,0.1609040566255334,2024-12-10,93,Medium,Active

167,PP Shaw,1610,batsman,0.1645519728961204,2025-02-16,25,Medium,Active

170,Avesh Khan,1609,bowler,0.2446712332415772,2025-03-11,2,High,Active

172,B Sai Sudharsan,1608,batsman,0.282603862188375,2025-02-28,13,High,Active

178,R Ashwin,1607,bowler,0.2280729140674212,2025-03-11,2,High,Active

180,S Dube,1607,batsman,0.169496619226619,2025-03-07,6,Medium,Active

182,KR Mayers,1607,batsman,0.2204468871966879,2024-12-29,74,High,Active

186,NT Ellis,1604,bowler,0.2120028011204482,2025-03-05,8,High,Active

189,Suyash Sharma,1602,bowler,0.1598290598290598,2025-02-05,36,Medium,Active

193,MJ Santner,1601,bowler,0.2274916779127305,2025-03-07,6,High,Active

195,A Zampa,1599,bowler,0.2647226689913188,2024-12-23,80,High,Active

198,Noor Ahmad,1599,bowler,0.2246876659572311,2025-02-28,13,High,Active

200,MJ Henry,1598,bowler,0.0879629629629629,2025-03-06,7,Low,Active

202,RD Chahar,1597,bowler,0.2172163264960161,2025-03-08,5,High,Active

205,Rasikh Salam,1596,bowler,0.1525402837902837,2025-03-04,9,Medium,Active

206,A Raghuvanshi,1595,batsman,0.1829591836734694,2025-02-23,18,Medium,Active

207,AK Markram,1595,batsman,0.155290277106692,2025-03-12,1,Medium,Active

208,R Powell,1595,batsman,0.1135384269204758,2025-03-11,2,Medium,Active

210,R Parag,1594,batsman,0.1285747748872338,2025-03-11,2,Medium,Active

211,Sikandar Raza,1594,all-rounder,0.1236432748538011,2025-01-23,49,Medium,Active

212,Ishan Kishan,1594,batsman,0.1977760820407933,2025-03-06,7,High,Active

215,Dhruv Jurel,1593,batsman,0.1345182299182299,2025-03-11,2,Medium,Active

219,DJ Hooda,1593,batsman,0.1009563963474852,2025-03-06,7,Low,Active

223,M Markande,1592,bowler,0.1945876876876876,2025-02-10,31,High,Active

225,AM Rahane,1592,batsman,0.1704620654660137,2025-03-07,6,Medium,Active

228,PWH de Silva,1590,bowler,0.2581849816849816,2024-12-11,92,High,Active

229,HR Shokeen,1590,bowler,0.11525584968338,2024-12-29,74,Medium,Active

236,N Burger,1585,bowler,0.258225641025641,2025-03-02,11,High,Active

237,Sandeep Sharma,1585,bowler,0.2472096626900922,2025-03-11,2,High,Active

239,Rahmanullah Gurbaz,1583,batsman,0.1606138882394201,2025-03-12,1,Medium,Active

240,K Gowtham,1583,bowler,0.1561279284828707,2025-02-26,15,Medium,Active

241,KR Sen,1582,bowler,0.2163562969597452,2025-01-31,41,High,Active

242,Prasidh Krishna,1582,bowler,0.2063562969597452,2025-01-31,41,High,Active

246,Harpreet Brar,1581,bowler,0.1674920470860408,2025-03-08,5,Medium,Active

250,PN Mankad,1580,batsman,0.1056054964539007,2024-12-29,74,Low,Active

